Page,Edits,Editors,Views,Date
Facebook,22,10,1705129,April 2023
World Baseball Classic,579,113,1703608,March 2023
List of Black Mirror episodes,86,48,1703076,June 2023
Barbie,78,33,1702903,July 2023
The Creator (2023 film),333,134,1701566,October 2023
Murdaugh family,112,66,1699247,February 2023
Margot Robbie,22,14,1698583,August 2023
Taylor Swift,194,59,1694992,May 2023
Anna Nicole Smith,60,37,1693499,May 2023
2023 NFL Draft,727,131,1692559,April 2023
Ray Stevenson,246,137,1688051,May 2023
Instagram,7,6,1687753,January 2023
Jon Rahm,144,82,1687533,April 2023
The Last of Us,12,8,1686831,March 2023
LeBron James,119,43,1682660,February 2023
Robert F. Kennedy Jr.,149,50,1668303,July 2023
Republic Day (India),58,46,1667127,January 2023
Ansel Adams,11,6,1663839,October 2023
Ike Turner,78,55,1663737,May 2023
Alia Bhatt,43,9,1662799,August 2023
XXX,0,0,1662026,June 2023
Zionism,22,14,1660490,October 2023
Ryan Gosling,20,9,1658766,August 2023
XXXTentacion,19,8,1657516,February 2023
2023 Karnataka Legislative Assembly election,650,83,1649244,May 2023
XXXX (beer),6,6,1648924,May 2023
Barbie (film),383,174,1648754,September 2023
Knock at the Cabin,330,129,1645077,February 2023
Evil Dead Rise,196,60,1644386,May 2023
Flipkart,12,7,1641239,June 2023
LK-99,1004,237,1640299,August 2023
Paul Reubens,112,51,1640242,July 2023
XXXTentacion,12,7,1640043,March 2023
Yom Kippur War,75,37,1638738,October 2023
Navarone Garibaldi,31,28,1635277,January 2023
Al Nassr FC,156,81,1633417,August 2023
2023 Cricket World Cup,325,46,1632180,June 2023
Novak Djokovic,144,48,1631718,June 2023
Burt Bacharach,267,113,1630241,February 2023
Omegle,3,3,1628762,July 2023
2022 Russian invasion of Ukraine,0,0,1627282,January 2023
The Bear (TV series),74,34,1626823,July 2023
Boston Marathon bombing,68,53,1625314,April 2023
Halloween,50,22,1623183,October 2023
Harry Styles,37,19,1623048,February 2023
Elon Musk,118,33,1621930,July 2023
United States,231,40,1621072,March 2023
2022 Russian invasion of Ukraine,0,0,1620905,February 2023
Elon Musk,119,42,1619402,September 2023
Premier League,111,70,1613109,January 2023
Keanu Reeves,33,13,1608220,April 2023
Robert F. Kennedy Jr.,175,75,1607707,April 2023
Kim Petras,40,28,1603654,February 2023
Premier League,87,54,1603354,February 2023
Atlee (director),71,40,1603087,September 2023
Taylor Swift,107,29,1602342,June 2023
Virat Kohli,67,36,1602215,October 2023
Ansel Adams,6,6,1587042,September 2023
Google Translate,17,14,1586842,October 2023
Al Nassr FC,222,127,1582605,January 2023
Novak Djokovic,128,53,1582495,September 2023
United States,170,52,1582177,May 2023
Cillian Murphy,55,37,1579489,August 2023
Sinéad O'Connor,169,56,1575652,August 2023
Premier League,23,13,1573990,September 2023
Gaza City,33,21,1571865,October 2023
Silicon Valley Bank,620,217,1571557,March 2023
India,71,25,1571471,September 2023
Tyson Fury,26,14,1571257,August 2023
Manhattan Project,43,21,1570919,July 2023
Florence Pugh,38,26,1569224,July 2023
Sophie Turner,124,77,1568186,September 2023
Premier League,105,76,1565294,March 2023
Heart of Stone (2023 film),146,72,1563223,August 2023
Ali Wong,69,39,1562362,April 2023
Julian Sands,305,135,1560791,June 2023
Guardians of the Galaxy Vol. 3,81,45,1556548,August 2023
2023 Turkish presidential election,744,140,1554928,May 2023
Lionel Messi,79,24,1554122,January 2023
Ginny & Georgia,195,70,1553762,January 2023
The Mandalorian,86,50,1552496,March 2023
SummerSlam (2023),330,89,1550123,August 2023
2023 Southeast Asian Games,2,2,1549667,May 2023
Omegle,6,5,1537642,June 2023
Cristiano Ronaldo,43,23,1535182,June 2023
Johnny Manziel,30,12,1530101,August 2023
Jimmy Butler,57,25,1527869,May 2023
Peter Sutcliffe,47,30,1525864,October 2023
2023 World Baseball Classic,360,142,1524547,March 2023
Bruce Willis,23,13,1521875,March 2023
Satish Kaushik,124,65,1519336,March 2023
Atique Ahmed,2,2,1518839,April 2023
Andrew Ridgeley,24,20,1518317,July 2023
David Crosby,390,118,1516699,January 2023
History of Israel,6,6,1511845,October 2023
Bruce Willis,53,27,1509426,February 2023
Loki (season 2),357,98,1508023,October 2023
Fast & Furious,239,104,1506722,May 2023
Elon Musk,23,16,1505483,April 2023
List of highest-grossing films,98,13,1504358,February 2023
Lionel Messi,38,19,1503742,October 2023
Black Mirror,49,32,1502777,June 2023
Jennifer Coolidge,59,38,1502701,January 2023
United States,133,47,1500771,January 2023
Atomic bombings of Hiroshima and Nagasaki,36,21,1500448,July 2023
Annie Wersching,113,59,1499823,January 2023
Instagram,13,11,1499812,October 2023
Michael Gambon,187,90,1499799,September 2023
Mission: Impossible – Dead Reckoning Part One,288,137,1491958,August 2023
Donald Trump,335,84,1483976,August 2023
Joe Burrow,121,20,1483662,January 2023
Stockton Rush,410,168,1483032,June 2023
Gen V,183,73,1482514,October 2023
Pedro Pascal,59,35,1481656,January 2023
Burning Man,122,74,1481232,September 2023
Jason Kelce,97,48,1480227,February 2023
Premier League,63,8,1479588,October 2023
XXX (2002 film),6,5,1477054,August 2023
Harry Belafonte,346,136,1476975,April 2023
Dzhokhar Tsarnaev,139,37,1476102,April 2023
Six-Day War,26,19,1475776,October 2023
Blue Beetle (film),301,142,1473005,September 2023
Loreen (singer),6,1,1472696,May 2023
Regional Snowfall Index,0,0,1466792,March 2023
Matty Healy,956,43,1466141,May 2023
Avatar: The Way of Water,28,22,1463293,June 2023
Elvis Presley,28,12,1462289,March 2023
Google,28,15,1460359,March 2023
Google,23,16,1459620,May 2023
Mac McClung,74,44,1458931,February 2023
Elimination Chamber (2023),497,138,1456966,February 2023
Sam Kerr,71,52,1455045,August 2023
Gervonta Davis,144,82,1450259,April 2023
XXXTentacion,17,11,1449024,July 2023
Rachin Ravindra,136,90,1448999,October 2023
Pakistan Super League,79,45,1446339,February 2023
United States,335,37,1445937,July 2023
United States,481,64,1443195,April 2023
United States,172,51,1438189,October 2023
Five Nights at Freddy's,62,32,1436378,October 2023
Ansel Adams,3,3,1436068,July 2023
Sex,8,3,1435660,April 2023
Kim Mulkey,36,28,1434326,April 2023
Ansel Adams,7,5,1433840,January 2023
Sound of Freedom (film),120,40,1433488,August 2023
Elemental (2023 film),166,49,1432251,July 2023
Tom Brady,170,58,1432020,February 2023
Ahsoka (TV series),218,102,1431194,August 2023
Albert Einstein,187,20,1429519,July 2023
2023 FIBA Basketball World Cup,346,87,1428622,August 2023
Patrick Mahomes,74,28,1426243,January 2023
Annie Wersching,40,23,1418364,February 2023
Manchester City F.C.,106,33,1418065,May 2023
Ruth Handler,62,29,1417747,July 2023
Harrison Ford,30,19,1415503,July 2023
Jalen Hurts,98,52,1415053,February 2023
The Little Mermaid (2023 film),143,52,1414429,July 2023
